,sbj_id,id_learning_sen,target_order,complexity,target,n_of_fix,tot_dur_target,single_fix,gaze_dur_target
6464,42,16lf3,8,lf,cevecepre:,8,1654,191.0,191
6465,42,16lf4,9,lf,"cevecepre,",6,1299,,318
6466,42,4lf10,9,lf,ceburolmo,6,1235,175.0,175
6467,42,4lf4,10,lf,ceburolmo,2,487,,487
6468,42,11sf2,9,sf,mernidista,6,1717,,540
6469,42,6hf6,10,hf,tobufenso,3,743,,421
6470,42,5sf3,9,sf,vutuvizia,4,674,203.0,203
6471,42,2sf1,10,sf,zudulenza,2,453,,453
6472,42,11sf1,10,sf,mernidista,2,506,325.0,325
6473,42,8sf1,10,sf,"vicraziere,",4,652,152.0,152
6474,42,13lf8,10,lf,dorguvinna,2,437,220.0,220
6475,42,7lf1,9,lf,"clivuniaba,",14,3272,,1051
6476,42,12hf1,10,hf,pubbanallo,5,1077,235.0,235
6477,42,5sf9,10,sf,vutuvizia,5,1104,211.0,211
6478,42,16lf2,10,lf,cevecepre,7,2035,429.0,429
6479,42,7lf8,10,lf,clivuniaba,8,1620,,1462
6480,43,6lf1,1,lf,tobufolmo,14,3813,145.0,145
6481,43,9lf3,1,lf,cettobiaba,7,2258,,2258
6482,43,7sf1,1,sf,"clivuniere,",4,1088,,1088
6483,43,14hf5,1,hf,slibadosto,14,3533,,2163
6484,43,11hf4,1,hf,"mernidallo,",15,4372,,2656
6485,43,14hf3,2,hf,"slibadosto,",13,3779,,874
6486,43,5hf6,1,hf,vutuvenso,12,4010,,2525
6487,43,17hf2,1,hf,vugipogno,11,3637,,1722
6488,43,1sf6,1,sf,rugobenza,11,2686,,568
6489,43,8hf10,1,hf,"vicrazento,",12,3583,258.0,258
6490,43,5hf1,2,hf,vutuvenso,4,897,,641
6491,43,3lf9,1,lf,mudegespa,17,3789,,1806
6492,43,9lf8,2,lf,cettobiaba:,12,3480,,1624
6493,43,15lf2,1,lf,cridolinna,17,4338,211.0,211
6494,43,6lf4,2,lf,tobufolmo,25,6961,,2172
6495,43,6lf9,3,lf,"tobufolmo,",5,1439,267.0,267
6496,43,2hf10,1,hf,zudulondo,29,7419,,2043
6497,43,11hf6,2,hf,mernidallo,10,3069,,1318
6498,43,10sf1,1,sf,"cribotista,",9,2048,,1135
6499,43,11hf9,3,hf,mernidallo,12,1986,,681
6500,43,10sf5,2,sf,cribotista:,8,1765,,1339
6501,43,16sf8,1,sf,cevecismo:,18,4772,,1824
6502,43,7sf6,2,sf,clivuniere,11,2456,,762
6503,43,18lf3,1,lf,pobedepre,57,15543,,3512
6504,43,18lf9,2,lf,pobedepre,4,781,,396
6505,43,7sf2,3,sf,"clivuniere,",20,5265,367.0,367
6506,43,8hf5,2,hf,vicrazento,20,4234,,1177
6507,43,16sf5,2,sf,cevecismo,11,3354,213.0,213
6508,43,3lf3,2,lf,"mudegespa,",19,4618,,1345
6509,43,13sf7,1,sf,dorguvario:,56,13523,132.0,132
6510,43,14hf7,3,hf,slibadosto,17,4214,,1113
6511,43,15lf6,2,lf,cridolinna,17,3938,,765
6512,43,15lf10,3,lf,cridolinna,9,2400,,610
6513,43,16sf2,3,sf,cevecismo,3,656,211.0,211
6514,43,7sf4,4,sf,clivuniere,10,2195,466.0,466
6515,43,18lf5,3,lf,pobedepre,14,3208,99.0,99
6516,43,13sf1,2,sf,dorguvario,8,1773,,1041
6517,43,13sf5,3,sf,"dorguvario,",2,518,,518
6518,43,6lf10,4,lf,"tobufolmo,",18,4010,,1017
6519,43,11hf5,4,hf,mernidallo,3,791,,791
6520,43,11hf10,5,hf,mernidallo,3,575,,575
6521,43,10sf7,3,sf,cribotista,40,9240,,580
6522,43,18lf1,4,lf,pobedepre:,4,785,,595
6523,43,3lf7,3,lf,mudegespa,20,4567,,1272
6524,43,1sf3,2,sf,rugobenza,4,1057,,817
6525,43,8hf1,3,hf,"vicrazento,",9,2085,,1446
6526,43,5hf7,3,hf,vutuvenso,3,781,242.0,242
6527,43,12lf6,1,lf,pubbanasio,26,6095,,1206
6528,43,6lf2,5,lf,tobufolmo,6,1657,,1335
6529,43,9lf9,3,lf,"cettobiaba,",21,5179,,1493
6530,43,17hf1,2,hf,vugipogno,32,7886,,1334
6531,43,1sf5,3,sf,rugobenza,2,558,,558
6532,43,6lf5,6,lf,tobufolmo,7,1814,,731
6533,43,4sf5,1,sf,"ceburizia,",12,2637,,301
6534,43,12lf5,2,lf,"pubbanasio,",6,1705,,1705
6535,43,17hf8,3,hf,vugipogno,12,2398,,1514
6536,43,7sf10,5,sf,clivuniere,5,1007,,745
6537,43,18lf4,5,lf,pobedepre,27,6716,,3475
6538,43,1sf4,4,sf,rugobenza,14,2977,,1119
6539,43,9lf5,4,lf,cettobiaba,4,912,,912
6540,43,6lf8,7,lf,tobufolmo,8,1362,,753
6541,43,1sf7,5,sf,rugobenza,1,325,325.0,325
6542,43,15lf1,4,lf,cridolinna,12,2905,,421
6543,43,4sf6,2,sf,ceburizia,35,7914,261.0,261
6544,43,8hf3,4,hf,vicrazento,29,7033,,1946
6545,43,3lf5,4,lf,mudegespa,44,12609,,1081
6546,43,10sf3,4,sf,"cribotista,",10,2859,,778
6547,43,14hf4,4,hf,slibadosto,18,3854,,865
6548,43,8hf7,5,hf,"vicrazento,",3,779,,779
6549,43,16sf10,4,sf,cevecismo,22,5646,,1693
6550,43,3lf6,5,lf,mudegespa,7,1463,,728
6551,43,9lf4,5,lf,"cettobiaba,",3,834,,577
6552,43,17hf5,4,hf,vugipogno,14,4354,,1720
6553,43,8hf4,6,hf,vicrazento,3,722,,722
6554,43,10sf9,5,sf,cribotista:,23,4976,,463
6555,43,18lf8,6,lf,pobedepre,26,5790,,2046
6556,43,9lf10,6,lf,"cettobiaba,",7,1545,309.0,309
6557,43,4sf4,3,sf,ceburizia,14,3809,,772
6558,43,15lf9,5,lf,cridolinna:,24,5416,,887
6559,43,8hf9,7,hf,vicrazento,2,517,,517
6560,43,14hf9,5,hf,slibadosto,16,2701,,736
6561,43,13sf9,4,sf,dorguvario,12,2251,,975
6562,43,3lf10,6,lf,mudegespa;,12,2642,,1182
6563,43,2hf2,2,hf,zudulondo:,7,1892,,1740
6564,43,14hf1,6,hf,slibadosto:,3,648,,648
6565,43,3lf4,7,lf,mudegespa,46,11541,420.0,420
6566,43,2hf7,3,hf,zudulondo,10,1655,322.0,322
6567,43,12lf7,3,lf,pubbanasio,7,1700,,1052
6568,43,18lf7,7,lf,pobedepre,7,1395,324.0,324
6569,43,14hf8,7,hf,slibadosto,13,2359,,647
6570,43,2hf3,4,hf,zudulondo,12,2209,,1218
6571,43,16sf6,5,sf,cevecismo,3,534,90.0,90
6572,43,10sf6,6,sf,cribotista:,4,742,,742
6573,43,12lf2,4,lf,pubbanasio,4,829,,475
6574,43,2hf1,5,hf,zudulondo,9,1780,,551
6575,43,18lf6,8,lf,pobedepre,13,2992,,481
6576,43,16sf3,6,sf,cevecismo:,3,558,,558
6577,43,3lf2,8,lf,mudegespa,12,2682,,433
6578,43,8hf2,8,hf,vicrazento,3,649,258.0,258
6579,43,6lf3,8,lf,tobufolmo,7,1698,220.0,220
6580,43,12lf3,5,lf,pubbanasio,5,974,,665
6581,43,4sf7,4,sf,"ceburizia,",7,1632,,810
6582,43,9lf7,7,lf,cettobiaba,9,1872,101.0,101
6583,43,5hf5,4,hf,vutuvenso,23,5565,,1731
6584,43,14hf2,8,hf,slibadosto,22,5460,,787
6585,43,9lf6,8,lf,"cettobiaba,",11,2181,,549
6586,43,7sf7,6,sf,clivuniere,7,1687,,893
6587,43,12lf1,6,lf,pubbanasio,13,2621,,628
6588,43,16sf7,7,sf,cevecismo,5,1241,,603
6589,43,17hf9,5,hf,vugipogno,8,1980,291.0,291
6590,43,11hf1,6,hf,mernidallo,14,3635,,1171
6591,43,8hf6,9,hf,"vicrazento,",2,582,,582
6592,43,11hf7,7,hf,mernidallo,16,2610,,382
6593,43,8hf8,10,hf,vicrazento,1,321,321.0,321
6594,43,5hf8,5,hf,vutuvenso,6,1694,,737
6595,43,4sf8,5,sf,ceburizia,8,1567,223.0,223
6596,43,15lf8,6,lf,cridolinna,19,4210,,941
6597,43,5hf9,6,hf,vutuvenso,3,750,,750
6598,43,7sf9,7,sf,clivuniere,6,1175,,340
6599,43,7sf8,8,sf,clivuniere,1,345,345.0,345
6600,43,2hf5,6,hf,zudulondo,12,2620,,391
6601,43,1sf1,6,sf,"rugobenza,",9,2559,,707
6602,43,18lf2,9,lf,pobedepre,14,3789,,616
6603,43,5hf4,7,hf,vutuvenso,3,785,,547
6604,43,4sf3,6,sf,ceburizia,2,783,456.0,456
6605,43,13sf2,5,sf,dorguvario,11,2980,,1794
6606,43,14hf10,9,hf,slibadosto,11,2957,275.0,275
6607,43,5hf3,8,hf,vutuvenso,2,416,,416
6608,43,13sf3,6,sf,dorguvario,3,790,373.0,373
6609,43,4sf2,7,sf,ceburizia,2,452,,452
6610,43,4sf1,8,sf,ceburizia,2,580,,580
6611,43,4sf9,9,sf,ceburizia,1,251,251.0,251
6612,43,1sf10,7,sf,rugobenza,10,2224,284.0,284
6613,43,15lf7,7,lf,"cridolinna,",7,1476,,642
6614,43,16sf1,8,sf,"cevecismo,",3,826,,688
6615,43,14hf6,10,hf,slibadosto,1,369,369.0,369
6616,43,1sf9,8,sf,rugobenza,1,372,372.0,372
6617,43,3lf1,9,lf,mudegespa,24,6550,,1367
6618,43,16sf9,9,sf,cevecismo,1,310,310.0,310
6619,43,4sf10,10,sf,ceburizia,3,731,218.0,218
6620,43,13sf4,7,sf,dorguvario,2,648,,648
6621,43,12lf10,7,lf,pubbanasio,8,1896,,617
6622,43,12lf8,8,lf,pubbanasio,1,407,407.0,407
6623,43,2hf6,7,hf,zudulondo,13,3512,118.0,118
6624,43,1sf8,9,sf,rugobenza:,2,786,180.0,180
6625,43,6lf6,9,lf,tobufolmo,10,2421,,987
6626,43,2hf8,8,hf,zudulondo:,10,2778,188.0,188
6627,43,10sf4,7,sf,cribotista,14,3900,,873
6628,43,15lf5,8,lf,cridolinna,3,724,,724
6629,43,12lf9,9,lf,pubbanasio,1,213,213.0,213
6630,43,10sf10,8,sf,cribotista,3,768,312.0,312
6631,43,11hf8,8,hf,"mernidallo,",3,789,,679
6632,43,10sf2,9,sf,cribotista,3,719,310.0,310
6633,43,13sf6,8,sf,dorguvario,7,1228,247.0,247
6634,43,7sf3,9,sf,clivuniere,3,770,132.0,132
6635,43,16sf4,10,sf,"cevecismo,",5,1107,,751
6636,43,7sf5,10,sf,clivuniere,1,382,382.0,382
6637,43,9lf2,9,lf,cettobiaba,12,2336,,577
6638,43,15lf3,9,lf,cridolinna,1,317,317.0,317
6639,43,17hf7,6,hf,"vugipogno,",18,4178,,1495
6640,43,13sf10,9,sf,dorguvario,15,4014,,1890
6641,43,10sf8,10,sf,cribotista,3,841,,841
6642,43,17hf6,7,hf,vugipogno,10,2040,196.0,196
6643,43,2hf9,9,hf,zudulondo:,7,1805,,890
6644,43,18lf10,10,lf,pobedepre,12,2955,,1392
6645,43,11hf3,9,hf,mernidallo,3,700,,700
6646,43,13sf8,10,sf,dorguvario,2,588,,588
6647,43,1sf2,10,sf,rugobenza,2,483,294.0,294
6648,43,6lf7,10,lf,tobufolmo,4,929,,548
6649,43,5hf2,9,hf,vutuvenso,2,477,340.0,340
6650,43,9lf1,10,lf,"cettobiaba,",3,693,,693
